GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AHY1E001,AHZZE001,AHZZE002,AHZZE003,AHZZE004,AHZZE005,AHZZE006,AHZZE007,AHZZE008,AHZZE009,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,AH1QE001,NAME_M,AHY1M001,AHZZM001,AHZZM002,AHZZM003,AHZZM004,AHZZM005,AHZZM006,AHZZM007,AHZZM008,AHZZM009,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017,AH1QM001
"G180","2013-2017","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18",,,"Indiana",6614418,2537189,1664130,1238298,425832,119824,306008,873059,717931,155128,2537189,170817,123642,134102,137161,135850,136937,130256,129981,113680,217526,274784,325558,205494,113429,101113,86859,175565200400,"Indiana",0,7046,6973,8722,4486,2529,3528,4917,4803,2421,7046,2460,2195,2318,2013,2349,2170,2306,2331,2101,3149,3523,3582,2902,2467,1866,1903,1067034217
"G190","2013-2017","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19",,,"Iowa",3118102,1251587,800576,635516,165060,52688,112372,451011,362580,88431,1251587,71544,57984,60919,63506,60398,63079,59047,62345,54322,105845,138917,175018,111782,62299,56730,47852,92004632400,"Iowa",0,3914,3967,4541,2410,1569,1927,3441,2682,2174,3914,1725,1551,1552,1430,1283,1555,1302,1369,1259,1917,2433,2068,2058,1427,1383,1311,638160303
"G200","2013-2017","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20",,,"Kansas",2903820,1121943,735106,572697,162409,49591,112818,386837,322256,64581,1121943,68495,51162,52940,56703,58486,58726,54254,56237,49135,94232,121233,144503,96686,57145,52861,49145,83734036100,"Kansas",0,3987,3646,3879,2501,1235,2138,3397,3179,1542,3987,1631,1317,1391,1496,1827,1799,1442,1636,1190,1879,2131,2446,2206,1420,1254,1172,541452440
"G210","2013-2017","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21",,,"Kentucky",4424376,1724514,1136917,837485,299432,83075,216357,587597,489398,98199,1724514,160455,109867,105849,100448,92873,95366,87802,86167,73782,137303,169508,195366,123297,70504,60468,55459,111119964500,"Kentucky",0,4759,4599,5666,3740,2013,3194,3743,3887,2365,4759,2926,2080,2237,2151,1999,1845,1914,1938,1807,2321,2428,2821,2483,1503,1423,1373,755402473
"G220","2013-2017","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22",,,"Louisiana",4663461,1737645,1122064,753623,368441,88910,279531,615581,519662,95919,1737645,173429,112002,110589,104682,94424,89261,78609,81610,68639,126001,157683,187041,131911,76701,76074,68989,116180624600,"Louisiana",0,5467,5674,6275,3656,2022,3489,4650,4501,2238,5467,2456,2530,2461,2488,2428,2087,1944,2038,1886,2338,2520,3108,2619,1965,1825,1935,941823530
"G230","2013-2017","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23",,,"Maine",1330158,554061,348315,272763,75552,24524,51028,205746,161120,44626,554061,35307,31702,31095,28708,28737,29818,26438,26133,23641,45549,60827,71571,45807,25367,22928,20433,38900553800,"Maine",0,2330,2465,2424,1627,986,1303,2093,2169,1354,2330,1135,1057,1271,951,1138,1099,1203,968,962,1292,1608,1558,1404,956,762,735,354444426
"G240","2013-2017","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24",,,"Maryland",5996079,2181093,1460186,1044302,415884,106150,309734,720907,588076,132831,2181093,106728,65570,66839,70591,73631,76184,73537,78127,72327,150568,209306,286293,238062,169452,211495,232383,226494637200,"Maryland",0,4999,6925,7321,4720,2406,3814,5129,5022,2592,4999,2270,1877,1650,1638,1520,2093,1877,1786,1635,2507,2807,3647,2799,2912,2789,2697,1169127694
"G250","2013-2017","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25",,,"Massachusetts",6789319,2585715,1647619,1219185,428434,109357,319077,938096,736053,202043,2585715,148170,121507,103606,99703,90550,96157,88015,87986,79676,162522,227697,317494,261732,189951,232217,278732,263375221200,"Massachusetts",0,5003,6366,7798,4861,2886,3403,4897,4987,2788,5003,2713,2253,2486,2135,1909,2058,1942,1862,2118,2878,3431,3695,3550,3017,3073,2974,1369979329
"G260","2013-2017","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26",,,"Michigan",9925568,3888646,2509610,1846259,663351,182351,481000,1379036,1134862,244174,3888646,284882,193880,203674,208108,198205,205221,190244,189808,169586,318930,401825,474850,314998,185926,183124,165385,280334978000,"Michigan",0,8344,7907,9712,4348,3030,3231,5244,4884,3313,8344,2860,2464,2644,2709,2715,2878,2698,2693,2528,3482,3900,4005,3363,2705,2532,2050,1216384194
"G270","2013-2017","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27",,,"Minnesota",5490726,2153202,1390181,1099002,291179,91668,199511,763021,609357,153664,2153202,101116,87090,86563,92900,88519,92305,90040,92195,84966,167665,230109,301270,218658,138618,143801,137387,186889633700,"Minnesota",0,5375,5313,6772,3737,1997,2632,3907,3765,2403,5375,1917,1837,1791,1674,1777,1489,1512,1668,1829,2136,2526,3213,2849,2034,2213,2059,944487411
