"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"WA",5,1,1,42900,42786.1469897376,44788.4611101748,44741.9064029114,45397.6254274555,43511.5322358828,44006.5614332556,43722.5621834017,43840.5498217918,43663.1303428057,44035.9195149738,43756.3737585088,42854.7209579079,42457.3024056217,42012.4414418688,41523.2329544774,41004.1079507834,40448.9107472704,39896.5628582068,39352.4165380626,38827.7769407392,38325.3193055964,38212.148426377,38110.6235244856,38009.4772693556,37908.5434914656,37806.2693457198,37667.0020965672,37523.4161545665,37372.0392164661,37210.1155036921,37032.2109712711,36809.299365628,36559.5447466638,36276.9440933589,35970.922801576,35640.3160051307,35271.9467600401,34878.4756773304,34463.246836979,34032.0180842384,33587.5878744484,33274.8376147926,32961.2289549681,32650.3593026654,32344.0163824506,32043.3860987508,31756.9822244638,31481.1110672217,31213.4272131326,30955.0903006144,30708.0240168357,30473.3228323787,30242.8923884037,30015.2379216507,29788.5167456691,29559.9109196849,29329.2522325357,29091.5340657778,28845.3582016513,28589.9003904112,28324.8913775445,28051.4460188226,27770.2756827535,27482.9470888896,27190.8961219479,26895.683326561,26598.3195098906,26300.7374921215,26004.2359598854,25710.1664816383,25420.0531219179,25133.4650099471,24851.9409366325,24575.9299966808,24305.5273614872,24040.7383965862,23780.0624832527,23523.8169977413,23271.3461213394,23021.8567096034,22774.4004432268,22527.2829502668,22280.5863944141,22033.6522897126,21785.8096483534,21536.5739315319,21285.2839194138,21032.1562298108,20777.0510438819,20520.0307862998
"WA",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",6,1,1,41880,43168.1229273808,43068.1569243523,45044.4994536454,44996.237968174,45611.3369672114,43716.3939865396,44219.4413728329,43926.1135239473,44036.3537584386,43850.8642595239,44217.2050547693,43934.9441502848,43029.4035754764,42629.5623884036,42182.3953411022,41691.0866560055,41169.8396066407,40612.1796437549,40057.1875828705,39510.2266812175,38982.6939799601,38477.3050352187,38361.6436028178,38257.4804021552,38153.5036912544,38049.5016357146,37945.3136662262,37804.1200999174,37658.6151315618,37505.3189759959,37341.5650808524,37161.6528212138,36936.7157247967,36685.0394509456,36400.7673335152,36093.1318391435,35760.6372392376,35390.5105409638,34995.4092560366,34578.6430218497,34145.8930972495,33699.9375978037,33385.9341647796,33071.0594240764,32758.9168016067,32451.3095943342,32148.4538054375,31859.8170290862,31581.691853286,31311.7701039262,31051.2001520929,30801.8682100651,30564.8935029991,30332.1919985073,30102.2710396204,29873.2881857495,29642.4253433277,29409.5200770755,29169.5716487703,28921.183153252,28663.5269181202,28396.3423572973,28120.7510870823,27837.4670534063,27548.0562045655,27253.949331096,26956.7074207619,26657.3386905536,26357.7750918133,26059.314775608,25763.3074590499,25471.2703011634,25182.7693630416,24899.3455305943,24621.4453679716,24349.1619523206,24082.4962860877,23819.9437918243,23561.826835789,23307.4868619877,23056.1300991152,22806.8081660702,22557.8286168539,22309.2732806955,22060.4831266853,21810.7903155624,21559.6970257982,21306.55523266,21051.5825921943,20794.6403523006
"WA",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",7,1,1,42210,42163.3119757213,43429.6579165006,43343.2076400025,45294.2010388507,45244.3221397913,45819.5410877774,43913.4631853263,44424.1670014504,44121.6702421081,44224.2776549565,44030.8307120252,44395.3179751369,44110.4231453222,43201.0972161469,42798.8986546622,42349.4847068681,41856.0369518049,41332.7112769684,40772.6357144914,40215.0474196596,39665.3215649764,39134.9997976127,38626.7293254578,38508.615617583,38401.8556766676,38295.0935899511,38189.1975933421,38083.1421229647,37940.0689283478,37792.6927366309,37637.526086651,37471.6705879256,37289.7932323298,37062.8718522737,36809.3142102233,36523.4055955632,36213.8802628484,35879.531608059,35507.6751289343,35110.9708888989,34692.6893373416,34258.3806476006,33810.9212874442,33495.6792145191,33179.5557773513,32866.1547182868,32556.3143585046,32251.2472136948,31960.394198602,31680.0294672221,31407.8864887973,31145.0969973637,30893.5166301061,30654.283373065,30419.3271416492,30187.1571009586,29955.9274703839,29722.8237373669,29487.6878380449,29245.5258483973,28994.9386861141,28735.0989805552,28465.7533071278,28188.0299196129,27902.64633353,27611.1644427746,27315.0135325496,27015.7537163609,26714.3907018372,26412.8556301006,26112.4461388367,25814.5101529502,25520.5579914209,25230.15276618,24944.8374097012,24665.0560075631,24390.8997490737,24122.3641128659,23857.9436742767,23597.9627163444,23341.7610352123,23088.5433189518,22837.3639634976,22586.5295129203,22336.1216079861,22085.4833248071,21833.9357517389,21580.9933029899,21326.0079597188,21069.1983940312
"WA",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",8,1,1,40340,42483.1516339675,42439.6073801355,43684.7191929552,43611.4062959472,45537.6525640295,45486.2260151593,46019.6405780513,44102.7756363711,44620.7861368179,44309.2703597639,44404.3513984907,44207.5774172813,44570.2707096896,44282.8179491667,43369.8044617022,42965.310002524,42513.6159494767,42018.0769255973,41492.7140770269,40930.2683091977,40370.1301052668,39817.7426685274,39284.6801802297,38773.5738500146,38653.046380226,38543.7298500654,38435.3504548901,38327.6081100934,38219.7301148016,38074.8226945859,37925.6217573246,37768.3145524123,37600.4031667414,37416.5996819341,37187.7360371761,36932.3378608391,36644.5175779605,36333.1359255598,35996.9640263346,35623.4081881065,35225.1256812002,34805.2915276401,34369.4473638246,33920.5048774834,33604.0416446338,33286.6847003555,32971.0570036077,32658.998907964,32351.7374582305,32058.6828037362,31776.0957963301,31501.7457436871,31236.7535384939,30982.9398981532,30741.4646758418,30504.2713185651,30269.867548758,30036.4075850115,29801.079320841,29563.7299639228,29319.3691366782,29066.5988521611,28804.5908873656,28533.0988498388,28253.2584236249,27965.7876619362,27672.2475795278,27374.0648593354,27072.7987629866,26769.4525202186,26465.9565214901,26163.6079423553,25863.7528565706,25567.8949327147,25275.5944002128,24988.3961938788,24706.742113785,24430.7203742341,24160.3237577337,23894.0433719653,23632.2062870404,23374.1498561085,23119.0797894791,22866.0506358338,22613.3680601708,22361.11587763,22108.62652198,21855.2327071014,21600.4494473992,21343.6287279901
"WA",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",9,1,1,42140,40640.3563077472,42749.4130069207,42709.0239325383,43933.415075492,43872.8606327107,45774.9428058816,45719.3708523732,46211.698818959,44284.3748331337,44809.3537998311,44488.9599112035,44581.1384497214,44381.1319987092,44742.0856670416,44452.1461356167,43535.5384413038,43128.7168831737,42674.7956876635,42177.2107047399,41649.8502123793,41085.0778735371,40522.4896062729,39967.4881943495,39431.7293437567,38917.8331215001,38794.9290020687,38684.2191703012,38574.2637850677,38464.7212029287,38355.0643523111,38208.3668483989,38057.0686251975,37897.6681365117,37727.7429949388,37542.0529453557,37311.2893180393,37053.7810296609,36764.0829617665,36450.8757028273,36112.9135435833,35737.6861690272,35337.7900938288,34916.4270719779,34479.0698524897,34028.6675207398,33710.9985061372,33391.4400656958,33073.6019169465,32759.3439779193,32449.9033120392,32154.6640627219,31869.8696859657,31593.329597849,31326.1495587444,31070.119146908,30826.4196166608,30587.0047945833,30350.3839157142,30114.710174984,29877.1747655305,29637.6272398691,29391.0835828408,29136.1458401386,28871.9849915229,28598.3623938284,28316.4182947641,28026.8740685629,27731.2888531416,27431.0868123548,27127.8263364259,26822.5082130483,26517.0621652271,26212.7848498594,25911.0205457501,25613.2664109322,25319.0798616038,25030.0079219463,24746.4891137155,24468.6112127847,24196.3619749566,23928.2299305852,23664.5441137978,23404.641801935,23147.7273760187,22892.8556184122,22638.3334928939,22384.2352737539,22129.9034154687,21874.6717766825,21618.0559594247
"WA",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
