GISJOIN,STATEFP20
G53000109501003057,53
G53000109501003058,53
G53000109501003059,53
G53000109501003060,53
G53000109501003061,53
G53000109501003062,53
G53000109501003063,53
G53000109501003064,53
G53000109501003065,53
G53000109501003066,53
G53000109501003067,53
G53000109501003068,53
G53000109501003069,53
G53000109501003070,53
G53000109501003071,53
G53000109501003072,53
G53000109501003073,53
G53000109501003074,53
G53000109501003075,53
G53000109501003076,53
G53000109501003077,53
G53000109501003078,53
G53000109501003079,53
G53000109501003080,53
G53000109502001000,53
G53000109502001001,53
G53000109502001002,53
G53000109502001003,53
G53000109502001004,53
G53000109502001005,53
G53000109502001006,53
G53000109502001007,53
G53000109502001008,53
G53000109502001009,53
G53000109502001010,53
G53000109502001011,53
G53000109502001012,53
G53000109502001013,53
G53000109502001014,53
G53000109502001015,53
G53000109502001016,53
G53000109502001017,53
G53000109502001018,53
G53000109502001019,53
G53000109502001020,53
G53000109502001021,53
G53000109502001022,53
G53000109502001023,53
G53000109502001024,53
G53000109502001025,53
G53000109502001026,53
G53000109502001027,53
G53000109502001028,53
G53000109502001029,53
G53000109502001030,53
G53000109502001031,53
G53000109502001032,53
G53000109502001033,53
G53000109502001034,53
G53000109502001035,53
G53000109502001036,53
G53000109502001037,53
G53000109502001038,53
G53000109502001039,53
G53000109502001040,53
G53000109502001041,53
G53000109502001042,53
G53000109502001043,53
G53000109502001044,53
G53000109502001045,53
G53000109502001046,53
G53000109502001047,53
G53000109502001048,53
G53000109502001049,53
G53000109502001050,53
G53000109502001051,53
G53000109502001052,53
G53000109502001053,53
G53000109502001054,53
G53000109502001055,53
G53000109502001056,53
G53000109502001057,53
G53000109502001058,53
G53000109502001059,53
G53000109502001060,53
G53000109502001061,53
G53000109502001062,53
G53000109502001063,53
G53000109502001064,53
G53000109502001065,53
G53000109502001066,53
G53000109502001067,53
G53000109502001068,53
G53000109502001069,53
G53000109502001070,53
G53000109502001071,53
G53000109502001072,53
G53000109502001073,53
G53000109502001074,53
G53000109502001075,53
G53000109502001076,53
G53000109502001077,53
G53000109502001078,53
G53000109502001079,53
G53000109502001080,53
G53000109502001081,53
G53000109502001082,53
G53000109502001083,53
G53000109502001084,53
G53000109502001085,53
G53000109502001086,53
G53000109502001087,53
G53000109502001088,53
G53000109502001089,53
G53000109502001090,53
G53000109502001091,53
G53000109502001092,53
G53000109502001093,53
G53000109502001094,53
G53000109502001095,53
G53000109502001096,53
G53000109502001097,53
G53000109502001098,53
G53000109502001099,53
G53000109502001100,53
G53000109502001101,53
G53000109502001102,53
G53000109502001103,53
G53000109502001104,53
G53000109502001105,53
G53000109502001106,53
G53000109502002000,53
G53000109502002001,53
G53000109502002002,53
G53000109502002003,53
G53000109502002004,53
G53000109502002005,53
G53000109502002006,53
G53000109502002007,53
G53000109502002008,53
G53000109502002009,53
G53000109502002010,53
G53000109502002011,53
G53000109502002012,53
G53000109502002013,53
G53000109502002014,53
G53000109502002015,53
G53000109502002016,53
G53000109502002017,53
G53000109502002018,53
G53000109502002019,53
G53000109502002020,53
G53000109502002021,53
G53000109502002022,53
G53000109502002023,53
G53000109502002024,53
G53000109502002025,53
G53000109502002026,53
G53000109502002027,53
G53000109502002028,53
G53000109502002029,53
G53000109502002030,53
G53000109502002031,53
G53000109502002032,53
G53000109502002033,53
G53000109502002034,53
G53000109502002035,53
G53000109502002036,53
G53000109502002037,53
G53000109502002038,53
G53000109502002039,53
G53000109502002040,53
G53000109502002041,53
G53000109502002042,53
G53000109502002043,53
G53000109502002044,53
G53000109502002045,53
G53000109502002046,53
G53000109502002047,53
G53000109502002048,53
G53000109502002049,53
G53000109502002050,53
G53000109502002051,53
G53000109502002052,53
G53000109502002053,53
G53000109502002054,53
G53000109502002055,53
G53000109502002056,53
G53000109502002057,53
G53000109502002058,53
G53000109502002059,53
G53000109502002060,53
G53000109502002061,53
G53000109502002062,53
G53000109502002063,53
G53000109502002064,53
G53000109502002065,53
G53000109502002066,53
G53000109502002067,53
G53000109502002068,53
G53000109502002069,53
G53000109502002070,53
G53000109502002071,53
G53000109502002072,53
G53000109502002073,53
G53000109502002074,53
G53000109502002075,53
G53000109502002076,53
G53000109502002077,53
G53000109502002078,53
G53000109502002079,53
G53000109502002080,53
G53000109502002081,53
G53000109502002082,53
G53000109502002083,53
G53000109502002084,53
G53000109502002085,53
G53000109502002086,53
G53000109502002087,53
G53000109502002088,53
G53000109502002089,53
G53000109502002090,53
G53000109502002091,53
G53000109502002092,53
G53000109502002093,53
G53000109502002094,53
G53000109502002095,53
G53000109502002096,53
G53000109502002097,53
G53000109502002098,53
G53000109502002099,53
G53000109502002100,53
G53000109502002101,53
G53000109502002102,53
G53000109502002103,53
G53000109502002104,53
G53000109502002105,53
G53000109502002106,53
G53000109502002107,53
G53000109502002108,53
G53000109502002109,53
G53000109502002110,53
G53000109502002111,53
G53000109502002112,53
G53000109502002113,53
G53000109502002114,53
G53000109502002115,53
G53000109502002116,53
G53000109502002117,53
G53000109502002118,53
G53000109502002119,53
G53000109502002120,53
G53000109502002121,53
G53000109502002122,53
G53000109502002123,53
G53000109502002124,53
G53000109502002125,53
G53000109502002126,53
G53000109502002127,53
G53000109502002128,53
G53000109502002129,53
G53000109502002130,53
G53000109502002131,53
G53000109502002132,53
G53000109502002133,53
G53000109502002134,53
G53000109502002135,53
G53000109502002136,53
G53000109502002137,53
G53000109502002138,53
G53000109502002139,53
G53000109502002140,53
G53000109502002141,53
G53000109502002142,53
G53000109502002143,53
G53000109502002144,53
G53000109502002145,53
G53000109502002146,53
G53000109502002147,53
G53000109502002148,53
G53000109502002149,53
G53000109502002150,53
G53000109502002151,53
G53000109502002152,53
G53000109502002153,53
G53000109502002154,53
G53000109502002155,53
G53000109502002156,53
G53000109502002157,53
G53000109502002158,53
G53000109502002159,53
G53000109502002160,53
G53000109502002161,53
G53000109502002162,53
G53000109502002163,53
G53000109502002164,53
G53000109502002165,53
G53000109502002166,53
G53000109502002167,53
G53000109502002168,53
G53000109502002169,53
G53000109502002170,53
G53000109502002171,53
G53000109502002172,53
G53000109502002173,53
G53000109502002174,53
G53000109502002175,53
G53000109502002176,53
G53000109502002177,53
G53000109502002178,53
G53000109502002179,53
G53000109502002180,53
G53000109502002181,53
G53000109502002182,53
G53000109502002183,53
G53000109502002184,53
G53000109502002185,53
G53000109502002186,53
G53000109502002187,53
G53000109502002188,53
G53000109502002189,53
G53000109502002190,53
G53000109502002191,53
G53000109502002192,53
G53000109502002193,53
G53000109502002194,53
G53000109502002195,53
G53000109502002196,53
G53000109502002197,53
G53000109502002198,53
G53000109502002199,53
G53000109502002200,53
G53000109502002201,53
G53000109502002202,53
G53000109502002203,53
G53000109502002204,53
G53000109502002205,53
G53000109502002206,53
G53000109502002207,53
G53000109502002208,53
G53000109502002209,53
G53000109502002210,53
G53000109502002211,53
G53000109502002212,53
G53000109502002213,53
G53000109502002214,53
G53000109502002215,53
G53000109502002216,53
G53000109502002217,53
G53000109502002218,53
G53000109502002219,53
G53000109502002220,53
G53000109502002221,53
G53000109502003000,53
G53000109502003001,53
G53000109502003002,53
G53000109502003003,53
G53000109502003004,53
G53000109502003005,53
G53000109502003006,53
G53000109502003007,53
G53000109502003008,53
G53000109502003009,53
G53000109502003010,53
G53000109502003011,53
G53000109502003012,53
G53000109502003013,53
G53000109502003014,53
G53000109502003015,53
G53000109502003016,53
G53000109502003017,53
G53000109502003018,53
G53000109502003019,53
G53000109502003020,53
G53000109502003021,53
G53000109502003022,53
G53000109502003023,53
G53000109502003024,53
G53000109502003025,53
G53000109502003026,53
G53000109502003027,53
G53000109502003028,53
G53000109502003029,53
G53000109502003030,53
G53000109502003031,53
G53000109502003032,53
G53000109502003033,53
G53000109502003034,53
G53000109502003035,53
G53000109502003036,53
G53000109502003037,53
G53000109502003038,53
G53000109502003039,53
G53000109502003040,53
G53000109502003041,53
G53000109502003042,53
G53000109502003043,53
G53000109502003044,53
G53000109502003045,53
G53000109502003046,53
G53000109502003047,53
G53000109502003048,53
G53000109502003049,53
G53000109502003050,53
G53000109502003051,53
G53000109502003052,53
G53000109502003053,53
G53000109502003054,53
G53000109502003055,53
G53000109502003056,53
G53000109502003057,53
G53000109502003058,53
G53000109502003059,53
G53000109502003060,53
G53000109502003061,53
G53000109502003062,53
G53000109502003063,53
G53000109502003064,53
G53000109502003065,53
G53000109502003066,53
G53000109502003067,53
G53000109502003068,53
G53000109502003069,53
G53000109502003070,53
G53000109502003071,53
G53000109502003072,53
G53000109502003073,53
G53000109502003074,53
G53000109502003075,53
G53000109502003076,53
G53000109502003077,53
G53000109502003078,53
G53000109502003079,53
G53000109502003080,53
G53000109502003081,53
G53000109502003082,53
G53000109502003083,53
G53000109502003084,53
G53000109502003085,53
G53000109502003086,53
G53000109502003087,53
G53000109502003088,53
G53000109502003089,53
G53000109502003090,53
G53000109502003091,53
G53000109502003092,53
G53000109502003093,53
G53000109502003094,53
G53000109502003095,53
G53000109502003096,53
G53000109502003097,53
G53000109502003098,53
G53000109502003099,53
G53000109502003100,53
G53000109502003101,53
G53000109502003102,53
G53000109502003103,53
G53000109502003104,53
G53000109502003105,53
G53000109502003106,53
G53000109502003107,53
G53000109502003108,53
G53000109502003109,53
G53000109502003110,53
G53000109502003111,53
G53000109502003112,53
G53000109502003113,53
G53000109502003114,53
G53000109502003115,53
G53000109502003116,53
G53000109502003117,53
G53000109502003118,53
G53000109502003119,53
G53000109502003120,53
G53000109502003121,53
G53000109502003122,53
G53000109502003123,53
G53000109502003124,53
G53000109502003125,53
G53000109502003126,53
G53000109502003127,53
G53000109502003128,53
G53000109502003129,53
G53000109502003130,53
G53000109502003131,53
G53000109502003132,53
G53000109502003133,53
G53000109502003134,53
G53000109502003135,53
G53000109502003136,53
G53000109502003137,53
G53000109502003138,53
G53000109502003139,53
G53000109502003140,53
G53000109502003141,53
G53000109502003142,53
G53000109502003143,53
G53000109502003144,53
G53000109502003145,53
G53000109502003146,53
G53000109502003147,53
G53000109502003148,53
G53000109502003149,53
G53000109502003150,53
G53000109502003151,53
G53000109502003152,53
G53000109502003153,53
G53000109502003154,53
G53000109502003155,53
G53000109502003156,53
G53000109502003157,53
G53000109502003158,53
G53000109502003159,53
G53000109502003160,53
G53000109502003161,53
G53000109502003162,53
G53000109502003163,53
G53000109502003164,53
G53000109502003165,53
G53000109502003166,53
G53000109502003167,53
G53000109502003168,53
G53000109502003169,53
G53000109502003170,53
G53000109502003171,53
G53000109502003172,53
G53000109502003173,53
G53000109502003174,53
G53000109502003175,53
G53000109502003176,53
G53000109502003177,53
G53000109502003178,53
G53000109502003179,53
G53000109502003180,53
G53000109502003181,53
G53000109502003182,53
G53000109502003183,53
G53000109502003184,53
G53000109502003185,53
G53000109502003186,53
G53000109502003187,53
G53000109502003188,53
G53000109502003189,53
G53000109502003190,53
G53000109502003191,53
G53000109502003192,53
G53000109502003193,53
G53000109502003194,53
G53000109502003195,53
G53000109502003196,53
G53000109502003197,53
G53000109502003198,53
G53000109502003199,53
G53000109502003200,53
G53000109502003201,53
G53000109502003202,53
G53000109502003203,53
G53000109502003204,53
G53000109502003205,53
G53000109503011000,53
G53000109503011001,53
G53000109503011002,53
G53000109503011003,53
G53000109503011004,53
G53000109503011005,53
G53000109503011006,53
G53000109503011007,53
G53000109503011008,53
G53000109503011009,53
G53000109503011010,53
G53000109503011011,53
G53000109503011012,53
G53000109503011013,53
G53000109503011014,53
G53000109503011015,53
G53000109503011016,53
G53000109503011017,53
G53000109503011018,53
G53000109503011019,53
G53000109503011020,53
G53000109503011021,53
G53000109503011022,53
G53000109503011023,53
G53000109503011024,53
G53000109503011025,53
G53000109503011026,53
G53000109503011027,53
G53000109503011028,53
G53000109503011029,53
G53000109503011030,53
G53000109503011031,53
G53000109503011032,53
